station_id,date,hour,demand,available_bikes,temperature,is_weekend,is_holiday
A001,2024-01-01,0,5,120,15.2,1,1
A001,2024-01-01,1,3,118,14.8,1,1
A001,2024-01-01,2,2,116,14.5,1,1
A001,2024-01-01,3,2,115,14.2,1,1
A001,2024-01-01,4,3,115,14.0,1,1
A001,2024-01-01,5,8,110,13.8,1,1
A001,2024-01-01,6,25,95,14.0,1,1
A001,2024-01-01,7,45,75,15.5,1,1
A001,2024-01-01,8,60,55,17.2,1,1
A001,2024-01-01,9,55,50,19.0,1,1
A001,2024-01-01,10,50,48,21.5,1,1
A001,2024-01-01,11,48,46,23.0,1,1
A001,2024-01-01,12,52,44,24.5,1,1
A001,2024-01-01,13,45,50,25.0,1,1
A001,2024-01-01,14,40,55,25.5,1,1
A001,2024-01-01,15,38,60,26.0,1,1
A001,2024-01-01,16,55,52,25.5,1,1
A001,2024-01-01,17,70,40,24.0,1,1
A001,2024-01-01,18,65,35,22.5,1,1
A001,2024-01-01,19,50,40,20.0,1,1
A001,2024-01-01,20,35,55,18.5,1,1
A001,2024-01-01,21,25,70,17.0,1,1
A001,2024-01-01,22,15,85,16.0,1,1
A001,2024-01-01,23,8,100,15.0,1,1
A002,2024-01-01,0,8,150,15.2,1,1
A002,2024-01-01,1,5,148,14.8,1,1
A002,2024-01-01,2,3,146,14.5,1,1
A002,2024-01-01,3,3,145,14.2,1,1
A002,2024-01-01,4,5,145,14.0,1,1
A002,2024-01-01,5,15,130,13.8,1,1
A002,2024-01-01,6,50,100,14.0,1,1
A002,2024-01-01,7,30,85,15.5,1,1
A002,2024-01-01,8,20,75,17.2,1,1
A002,2024-01-01,9,15,70,19.0,1,1
A002,2024-01-01,10,12,68,21.5,1,1
A002,2024-01-01,11,10,65,23.0,1,1
A002,2024-01-01,12,15,62,24.5,1,1
A002,2024-01-01,13,20,60,25.0,1,1
A002,2024-01-01,14,25,55,25.5,1,1
A002,2024-01-01,15,40,45,26.0,1,1
A002,2024-01-01,16,70,30,25.5,1,1
A002,2024-01-01,17,80,25,24.0,1,1
A002,2024-01-01,18,60,35,22.5,1,1
A002,2024-01-01,19,40,50,20.0,1,1
A002,2024-01-01,20,30,60,18.5,1,1
A002,2024-01-01,21,20,75,17.0,1,1
A002,2024-01-01,22,15,90,16.0,1,1
A002,2024-01-01,23,10,110,15.0,1,1
A003,2024-01-01,0,2,80,15.2,1,1
A003,2024-01-01,1,1,79,14.8,1,1
A003,2024-01-01,2,1,79,14.5,1,1
A003,2024-01-01,3,1,79,14.2,1,1
A003,2024-01-01,4,2,78,14.0,1,1
A003,2024-01-01,5,5,75,13.8,1,1
A003,2024-01-01,6,10,70,14.0,1,1
A003,2024-01-01,7,25,55,15.5,1,1
A003,2024-01-01,8,40,40,17.2,1,1
A003,2024-01-01,9,55,30,19.0,1,1
A003,2024-01-01,10,65,25,21.5,1,1
A003,2024-01-01,11,70,20,23.0,1,1
A003,2024-01-01,12,68,22,24.5,1,1
A003,2024-01-01,13,62,28,25.0,1,1
A003,2024-01-01,14,55,35,25.5,1,1
A003,2024-01-01,15,45,42,26.0,1,1
A003,2024-01-01,16,35,50,25.5,1,1
A003,2024-01-01,17,25,60,24.0,1,1
A003,2024-01-01,18,15,70,22.5,1,1
A003,2024-01-01,19,10,75,20.0,1,1
A003,2024-01-01,20,8,78,18.5,1,1
A003,2024-01-01,21,5,80,17.0,1,1
A003,2024-01-01,22,3,80,16.0,1,1
A003,2024-01-01,23,2,80,15.0,1,1
A001,2024-01-02,0,6,118,15.0,0,0
A001,2024-01-02,1,4,116,14.5,0,0
A001,2024-01-02,2,3,115,14.0,0,0
A001,2024-01-02,3,2,115,13.5,0,0
A001,2024-01-02,4,4,115,13.0,0,0
A001,2024-01-02,5,12,108,12.5,0,0
A001,2024-01-02,6,35,90,13.0,0,0
A001,2024-01-02,7,65,65,14.5,0,0
A001,2024-01-02,8,85,45,16.0,0,0
A001,2024-01-02,9,75,40,17.5,0,0
A001,2024-01-02,10,70,38,19.0,0,0
A001,2024-01-02,11,65,36,20.5,0,0
A001,2024-01-02,12,70,34,22.0,0,0
A001,2024-01-02,13,60,40,23.0,0,0
A001,2024-01-02,14,55,45,23.5,0,0
A001,2024-01-02,15,50,50,24.0,0,0
A001,2024-01-02,16,70,42,23.5,0,0
A001,2024-01-02,17,90,30,22.5,0,0
A001,2024-01-02,18,80,28,21.0,0,0
A001,2024-01-02,19,60,35,19.5,0,0
A001,2024-01-02,20,45,50,18.0,0,0
A001,2024-01-02,21,30,65,16.5,0,0
A001,2024-01-02,22,18,80,15.5,0,0
A001,2024-01-02,23,10,95,14.5,0,0
A002,2024-01-02,0,10,145,15.0,0,0
A002,2024-01-02,1,6,142,14.5,0,0
A002,2024-01-02,2,4,140,14.0,0,0
A002,2024-01-02,3,4,140,13.5,0,0
A002,2024-01-02,4,6,140,13.0,0,0
A002,2024-01-02,5,20,125,12.5,0,0
A002,2024-01-02,6,65,95,13.0,0,0
A002,2024-01-02,7,40,80,14.5,0,0
A002,2024-01-02,8,25,70,16.0,0,0
A002,2024-01-02,9,18,65,17.5,0,0
A002,2024-01-02,10,15,62,19.0,0,0
A002,2024-01-02,11,12,60,20.5,0,0
A002,2024-01-02,12,18,58,22.0,0,0
A002,2024-01-02,13,25,55,23.0,0,0
A002,2024-01-02,14,32,50,23.5,0,0
A002,2024-01-02,15,50,40,24.0,0,0
A002,2024-01-02,16,85,25,23.5,0,0
A002,2024-01-02,17,100,18,22.5,0,0
A002,2024-01-02,18,75,28,21.0,0,0
A002,2024-01-02,19,50,42,19.5,0,0
A002,2024-01-02,20,38,55,18.0,0,0
A002,2024-01-02,21,25,70,16.5,0,0
A002,2024-01-02,22,18,85,15.5,0,0
A002,2024-01-02,23,12,105,14.5,0,0
A003,2024-01-02,0,3,78,15.0,0,0
A003,2024-01-02,1,2,77,14.5,0,0
A003,2024-01-02,2,1,77,14.0,0,0
A003,2024-01-02,3,1,77,13.5,0,0
A003,2024-01-02,4,2,76,13.0,0,0
A003,2024-01-02,5,6,74,12.5,0,0
A003,2024-01-02,6,12,68,13.0,0,0
A003,2024-01-02,7,30,52,14.5,0,0
A003,2024-01-02,8,48,38,16.0,0,0
A003,2024-01-02,9,62,28,17.5,0,0
A003,2024-01-02,10,75,22,19.0,0,0
A003,2024-01-02,11,82,18,20.5,0,0
A003,2024-01-02,12,80,20,22.0,0,0
A003,2024-01-02,13,72,26,23.0,0,0
A003,2024-01-02,14,65,32,23.5,0,0
A003,2024-01-02,15,55,40,24.0,0,0
A003,2024-01-02,16,45,48,23.5,0,0
A003,2024-01-02,17,32,58,22.5,0,0
A003,2024-01-02,18,20,68,21.0,0,0
A003,2024-01-02,19,12,72,19.5,0,0
A003,2024-01-02,20,8,75,18.0,0,0
A003,2024-01-02,21,5,76,16.5,0,0
A003,2024-01-02,22,4,77,15.5,0,0
A003,2024-01-02,23,2,78,14.5,0,0
